subject,roi,side,intersection,union,id_vol,truth_vol
sub-C004,ZI,L,586,1015,803,798
sub-C004,ZI,R,546,1000,770,776
sub-C004,rZI,L,365,713,539,539
sub-C004,rZI,R,339,693,495,537
sub-C004,cZI,L,214,325,276,263
sub-C004,cZI,R,201,324,289,236
sub-C004,fct,L,418,756,751,423
sub-C004,fct,R,390,724,721,393
sub-C004,fl,L,140,343,315,168
sub-C004,fl,R,150,318,304,164
sub-C004,ft,L,247,475,454,268
sub-C004,ft,R,235,453,437,251
sub-C004,hfields,L,431,822,767,486
sub-C004,hfields,R,433,770,732,471
sub-C004,hf,L,148,284,264,168
sub-C004,hf,R,164,282,271,175
sub-C004,ml,L,105,189,172,122
sub-C004,ml,R,83,150,144,89
sub-C004,RN,L,803,950,856,897
sub-C004,RN,R,799,916,831,884
sub-C004,STN,L,302,487,367,422
sub-C004,STN,R,278,426,325,379
sub-C007,ZI,L,559,979,842,696
sub-C007,ZI,R,562,1005,851,716
sub-C007,rZI,L,355,671,547,479
sub-C007,rZI,R,354,691,567,478
sub-C007,cZI,L,206,348,330,224
sub-C007,cZI,R,209,353,322,240
sub-C007,fct,L,350,629,611,368
sub-C007,fct,R,392,683,673,402
sub-C007,fl,L,115,253,230,138
sub-C007,fl,R,124,270,241,153
sub-C007,ft,L,232,428,421,239
sub-C007,ft,R,236,436,429,243
sub-C007,hfields,L,389,676,638,427
sub-C007,hfields,R,404,699,656,447
sub-C007,hf,L,142,237,226,153
sub-C007,hf,R,146,261,250,157
sub-C007,ml,L,82,135,107,110
sub-C007,ml,R,69,118,99,88
sub-C007,RN,L,674,898,748,824
sub-C007,RN,R,762,924,833,853
sub-C007,STN,L,333,482,417,398
sub-C007,STN,R,268,427,327,368
sub-C013,ZI,L,549,983,753,779
sub-C013,ZI,R,508,914,671,751
sub-C013,rZI,L,356,690,522,524
sub-C013,rZI,R,336,637,459,514
sub-C013,cZI,L,195,308,247,256
sub-C013,cZI,R,164,273,205,232
sub-C013,fct,L,397,737,737,397
sub-C013,fct,R,397,727,721,403
sub-C013,fl,L,152,322,305,169
sub-C013,fl,R,143,308,287,164
sub-C013,ft,L,265,494,492,267
sub-C013,ft,R,245,502,495,252
sub-C013,hfields,L,471,831,805,497
sub-C013,hfields,R,445,824,795,474
sub-C013,hf,L,167,299,291,175
sub-C013,hf,R,166,304,297,173
sub-C013,ml,L,111,199,194,116
sub-C013,ml,R,85,150,148,87
sub-C013,RN,L,735,847,791,791
sub-C013,RN,R,707,839,735,811
sub-C013,STN,L,318,535,442,411
sub-C013,STN,R,293,484,401,376
sub-C016,ZI,L,604,1089,973,720
sub-C016,ZI,R,567,1029,869,727
sub-C016,rZI,L,391,758,657,492
sub-C016,rZI,R,365,720,586,499
sub-C016,cZI,L,211,359,336,234
sub-C016,cZI,R,197,331,305,223
sub-C016,fct,L,398,729,711,416
sub-C016,fct,R,393,706,696,403
sub-C016,fl,L,116,258,216,158
sub-C016,fl,R,123,273,244,152
sub-C016,ft,L,228,403,377,254
sub-C016,ft,R,233,454,434,253
sub-C016,hfields,L,382,679,598,463
sub-C016,hfields,R,393,727,663,457
sub-C016,hf,L,129,228,204,153
sub-C016,hf,R,133,236,213,156
sub-C016,ml,L,80,144,113,111
sub-C016,ml,R,76,126,117,85
sub-C016,RN,L,711,893,745,859
sub-C016,RN,R,772,944,828,888
sub-C016,STN,L,266,461,315,412
sub-C016,STN,R,275,409,298,386
sub-C033,ZI,L,548,973,763,758
sub-C033,ZI,R,488,912,658,742
sub-C033,rZI,L,331,680,511,500
sub-C033,rZI,R,322,639,447,514
sub-C033,cZI,L,215,325,281,259
sub-C033,cZI,R,155,279,200,234
sub-C033,fct,L,397,735,726,406
sub-C033,fct,R,401,737,731,407
sub-C033,fl,L,129,280,255,154
sub-C033,fl,R,149,302,287,164
sub-C033,ft,L,228,458,441,245
sub-C033,ft,R,230,436,418,248
sub-C033,hfields,L,402,747,696,453
sub-C033,hfields,R,429,749,712,466
sub-C033,hf,L,140,287,266,161
sub-C033,hf,R,152,276,262,166
sub-C033,ml,L,88,158,132,114
sub-C033,ml,R,83,136,131,88
sub-C033,RN,L,856,1001,909,948
sub-C033,RN,R,877,1023,968,932
sub-C033,STN,L,378,537,503,412
sub-C033,STN,R,366,543,513,396
